;;;;;;; $347,03 
Name;Price;Qt;;;Link;;Total
Rasberry pi; $25,28 ;1;;;Amazon;;€ 25,28
Stepper Motor; $11,57 ;1;;;Amazon;;€ 11,57
Motor Drivers; $5,62 ;1;;;Amazon;;€ 5,62
Power supply; $10,68 ;1;;;Amazon;;€ 10,68
Wires; $7,49 ;2;;;Amazon;;€ 14,98
T nut for 2020; $6,96 ;1;;;Amazon;;€ 6,96
Heat inserts M2,5; $4,63 ;1;;;Amazon;;€ 4,63
M3 screws; $8,11 ;1;;;Amazon;;€ 8,11
MGR15 1000mm; $87,97 ;1;;;Amazon;;€ 87,97
MGR15 450mm; $76,26 ;1;;;Amazon;;€ 76,26
heat inserts M3; $9,28 ;1;;;Amazon;;€ 9,28
Magnets; $17,12 ;1;;;Amazon;;€ 17,12
2020 profile; $20,42 ;1;;;Amazon;;€ 20,42
Micro sd; $5,39 ;1;;;Amazon;;€ 5,39
Smooth pulleys; $9,92 ;1;;;Amazon;;€ 9,92
Idler pulleys; $17,30 ;1;;;Amazon;;€ 17,30
Shipping; $8,01 ;1;;;Amazon;;€ 8,01
Timing belt; $7,53 ;1;;;Amazon;;€ 7,53
